#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
9.9%	99000	-15327.166522185697	306.0256466416476	1.28e+03
10.0%	100000	-15231.091096953693	290.13794137163075	1.28e+03
10.1%	101000	-14904.920999129805	290.58547502380577	1.28e+03
10.2%	102000	-15091.013163418778	303.0843937420953	1.28e+03
10.3%	103000	-15282.94653485706	305.74691489682164	1.28e+03
10.4%	104000	-15121.570789960082	285.7124153686764	1.28e+03
10.5%	105000	-15131.109874966882	294.7904597460894	1.28e+03
10.6%	106000	-15198.662721264089	316.46136358759924	1.28e+03
10.7%	107000	-15355.768500658218	311.62143573645994	1.28e+03
10.8%	108000	-15078.655413103901	296.8287171885901	1.28e+03
10.9%	109000	-15246.004699385536	308.6780299252195	1.29e+03
11.0%	110000	-15118.844577564276	308.0614024476217	1.29e+03
11.1%	111000	-15272.59321371372	294.7814428238024	1.29e+03
11.2%	112000	-15154.756812700492	298.20967009619187	1.29e+03
11.3%	113000	-15402.499330906176	293.6530144702126	1.28e+03
11.4%	114000	-15477.631069040508	299.9409352109318	1.29e+03
11.5%	115000	-15365.669119940583	306.5742456926287	1.28e+03
11.6%	116000	-15261.349917869302	301.90174313887496	1.29e+03
11.7%	117000	-15224.452453437902	297.5980726647804	1.29e+03
11.8%	118000	-15440.261969313062	286.94411166437334	1.28e+03
11.9%	119000	-15305.830504859689	298.8498285204945	1.28e+03
12.0%	120000	-15152.225914306684	290.91231378536514	1.28e+03
12.1%	121000	-15217.512312258572	306.54471372350616	1.28e+03
12.2%	122000	-15353.501761946754	309.236745088137	1.28e+03
12.3%	123000	-15169.8934149064	290.5786172062981	1.28e+03
12.4%	124000	-15409.956509468415	304.4678450898762	1.28e+03
12.5%	125000	-15343.43869419083	302.0617879642036	1.28e+03
12.6%	126000	-15361.126743854664	300.87278347210264	1.28e+03
12.7%	127000	-15144.240794191952	292.6554113033483	1.28e+03
12.8%	128000	-15206.8493705363	286.260613455872	1.28e+03
12.9%	129000	-15178.67328142871	287.9992880549959	1.28e+03
13.0%	130000	-15188.049658133496	305.7187825235821	1.28e+03
13.1%	131000	-15086.988082912074	303.5883801506571	1.28e+03
13.2%	132000	-15318.461428166891	278.19789158458013	1.28e+03
13.3%	133000	-15395.935517165257	308.552865411249	1.28e+03
13.4%	134000	-15377.828636471138	305.6686687386693	1.28e+03
13.5%	135000	-15396.46898391356	293.90081021239695	1.28e+03
13.6%	136000	-15243.617883402672	291.901102208946	1.28e+03
