#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
11.8%	118000	-758070.631659651	312.91135315910526	585
11.9%	119000	-757883.2666444242	301.45275372852245	584
12.0%	120000	-758114.0753665571	307.7758502913722	583
12.1%	121000	-757959.9589248128	300.8886002218465	582
12.2%	122000	-758001.8002469649	294.23870313417285	582
12.3%	123000	-757914.4757643442	315.0624160650718	582
12.4%	124000	-757884.9270026109	301.3272038279033	582
12.5%	125000	-758122.754045032	296.40355772379536	583
12.6%	126000	-757897.2587976673	307.57676621913237	583
12.7%	127000	-758281.4069538801	293.8100029046383	583
12.8%	128000	-757983.7190009691	294.0146822497263	583
12.9%	129000	-758252.7063532263	301.3476482251432	584
13.0%	130000	-757984.1409083023	307.41530826359235	583
13.1%	131000	-757926.1145880785	297.7370263443057	584
13.2%	132000	-757995.6526190478	304.8028654836191	584
13.3%	133000	-758358.418158544	301.9549872995732	584
13.4%	134000	-758129.1444250823	308.66447382879	584
13.5%	135000	-758066.9384066775	298.5555619653037	585
13.6%	136000	-757961.5064046661	296.42643425099885	585
13.7%	137000	-757984.6248651706	300.6677567715613	585
13.8%	138000	-758113.3414382697	295.5919633037673	584
13.9%	139000	-758221.3629241409	300.0495023185478	584
14.0%	140000	-758287.8676658974	305.278202667867	585
14.1%	141000	-758281.4037078139	297.67027235182127	584
14.2%	142000	-758086.2945518885	299.6787119584316	583
14.3%	143000	-758318.4297562042	309.9482085569278	583
14.4%	144000	-758083.8361252267	305.16303695721064	583
14.5%	145000	-758079.3879771286	310.26796728368043	584
14.6%	146000	-758129.700505642	302.4744524710817	584
14.7%	147000	-757817.4068039624	296.11726311215494	583
14.8%	148000	-758245.2052786385	305.1988617419079	584
14.9%	149000	-758065.3563940148	300.2140999567786	584
15.0%	150000	-757882.5587790824	296.68792618840894	584
15.1%	151000	-757891.4558494932	307.8678093455725	584
15.2%	152000	-758200.2839589958	309.691197396524	585
15.3%	153000	-758230.7485495398	311.06271490424984	585
15.4%	154000	-758086.8682032216	301.73016582712404	585
15.5%	155000	-758349.2988620106	303.0618399443904	586
15.6%	156000	-758058.0148777341	300.24272024776644	586
15.7%	157000	-758038.6950383815	305.04220206627275	586
15.8%	158000	-758004.1677793623	296.95870819658904	586
15.9%	159000	-758337.8393941933	295.2376873413026	586
16.0%	160000	-758051.6509239257	297.4481357280739	587
16.1%	161000	-758175.221801145	293.9060216080334	587
16.2%	162000	-758099.0501049613	295.56048414076207	587
16.3%	163000	-758138.9597529275	305.26370662261445	587
16.4%	164000	-758345.5422973256	300.88493619012985	586
16.5%	165000	-758022.8932603119	301.954096255425	586
16.6%	166000	-758059.7699351851	298.0491677922881	586
16.7%	167000	-758098.7182065332	294.8692508862539	586
16.8%	168000	-758028.6791983598	300.87068054464174	586
16.9%	169000	-758319.4915381504	298.1443327374803	586
17.0%	170000	-758396.7567008089	296.89830161433565	586
17.1%	171000	-758104.8779710727	301.92011210432315	586
17.2%	172000	-758218.6974995165	288.25776862077475	586
17.3%	173000	-758254.1193355608	297.9497614322235	586
17.4%	174000	-758290.9391798383	307.8745128431515	586
17.5%	175000	-758241.2175224714	301.8363615000028	586
17.6%	176000	-758317.7944870761	304.968898516459	586
17.7%	177000	-758230.6056445179	298.25366632956656	586
17.8%	178000	-758352.7623084395	308.67810603777394	586
17.9%	179000	-758412.618112152	294.365830515455	586
18.0%	180000	-758438.4433237325	304.1602361635094	586
18.1%	181000	-758458.3173176253	312.1240283084333	586
18.2%	182000	-758419.9018627905	293.6550738962972	586
18.3%	183000	-758298.7566110356	308.0948274576217	586
18.4%	184000	-758361.4049034698	292.70642678364516	587
18.5%	185000	-758247.2041338612	303.4272092862994	586
18.6%	186000	-758427.1166225642	320.70507055377345	587
18.7%	187000	-758209.248247406	292.1513817113486	587
18.8%	188000	-758268.6784807066	300.85252323262733	587
18.9%	189000	-758496.0109782382	296.5721541146109	587
19.0%	190000	-758359.1852028833	306.02167108996656	587
19.1%	191000	-758257.7396811725	287.16712922402644	587
19.2%	192000	-758258.9367319897	296.3099626764865	587
19.3%	193000	-758455.9517774954	310.5821217601262	587
19.4%	194000	-758403.3017826652	308.8250941191154	587
19.5%	195000	-758153.7423848343	299.84475534844825	587
19.6%	196000	-758087.2986119902	315.07314773714864	588
19.7%	197000	-758279.4882927097	295.01514639039044	588
19.8%	198000	-758456.244496167	296.82523789014033	587
19.9%	199000	-758347.7420049139	301.47152124943614	587
20.0%	200000	-758184.0083758389	292.74840608492644	587
20.1%	201000	-758400.2067595252	319.30241486095196	587
20.2%	202000	-758263.5438150526	304.88387637765635	587
20.3%	203000	-758362.896487107	307.92155344160193	589
20.4%	204000	-758284.685532866	292.7367639486843	589
20.5%	205000	-758236.5272216282	300.22778542020933	588
20.6%	206000	-758503.282142126	297.78388258543106	588
20.7%	207000	-758177.6901330943	278.49332708546865	588
20.8%	208000	-758373.2071500291	302.630659625638	588
20.9%	209000	-758050.9474012152	299.9116206630378	588
21.0%	210000	-758146.7531746139	297.58193503324645	588
21.1%	211000	-758197.7998294052	302.407109415602	588
