Salt,Swing_pct,MinUptake_pct,MaxUptake_pct,MinRH_pct,MaxRH_pct,DRH_pct
CaCl2,22.0025181715306,61.2071439705675,83.2096621420981,42,88,31
NaBr,21.7859268535245,53.5958514972443,75.3817783507689,61.7142857142857,88,61.4
NaOH,21.325448324275,67.298708937767,88.624157262042,42,88,23
LiCl,19.3410222222222,69.9233692263098,89.264391448532,42,88,12
MgCl2,19.2267786309772,66.8564219153135,86.0832005462907,42,88,33
HCl,17.0914912382234,73.8448589155321,90.9363501537556,42,88,17
NaCl,9.42520326303589,74.1980698666464,83.6232731296823,76.734693877551,88,76.5
CsCl,9.09802070143521,51.0561903858041,60.1542110872393,82.3673469387755,88,82
KBr,8.90697293125338,55.5227711779798,64.4297441092332,83.3061224489796,88,83.3
