Formula
NaCl
KCl
NH4Cl
CsCl
NaNO3
AgNO3
KI
LiNO3
KNO3
NaClO4
KClO3
NaBr
NaI
KBr
RbCl
CsBr
CsI
LiCl
LiOH
NaOH
HCl
CaCl2
MgCl2
MgNO3
MgNO32
LiBr
ZnCl2
ZnI2
ZnBr2
LiI
Na2SO4
K2SO4
NH42SO4
MgSO4
MnSO4
Li2SO4
NiSO4
CuSO4
ZnSO4
NH4NO3
BaNO3
CaNO3
CaBr2
CaI2
SrCl2
SrI2
BaCl2
BaBr2
SrBr2
LiClO4
NH4ClO4
NH42HPO4
CN3H62CO3
NH42B10H10
Li2C6H4S2O6
C2H6S2O6
C6H6S2O6
Na2S2O3
Na2C4H2O4
Na2C6H4S2O6
Na2B12H12
Na2WO4
K2CrO4
NH4Br
CaClO42
SrClO42
BaClO42
CrCl3
Cr2SO43
CrNO33
KCrSO42
NH4CrSO42
NaF
HNO3
HBr
HClO4
NaClO3
HI
NaBrO3
