Salt,Temperature_C,MW_Salt_g_per_mol,RH_Water_Activity,Mass_Fraction_Salt,Mass_Fraction_Water,Mole_Fraction_Water,Mole_Fraction_Water_Ionic_Basis,Molality_mol_per_kg,Activity_Coefficient_Water,Ionic_Strength_mol_per_kg,ln_aw,ln_gammaw
NaCl,25.0000000000,58.4430000000,0.8763737374,0.1664451810,0.8335548190,0.9420173920,0.8903902435,3.4166819880,0.9842580192,3.4166819880,-0.1319626382,-0.0158672017
NaCl,25.0000000000,58.4430000000,0.8786262626,0.1642330021,0.8357669979,0.9428867949,0.8919449595,3.3623484030,0.9850678041,3.3623484030,-0.1293956564,-0.0150448036
NaCl,25.0000000000,58.4430000000,0.8808787879,0.1620002073,0.8379997927,0.9437612614,0.8935113122,3.3077993540,0.9858619313,3.3077993540,-0.1268352472,-0.0142389633
NaCl,25.0000000000,58.4430000000,0.8831313131,0.1597463264,0.8402536736,0.9446409061,0.8950895591,3.2530291779,0.9866401682,3.2530291779,-0.1242813769,-0.0134498773
NaCl,25.0000000000,58.4430000000,0.8853838384,0.1574708758,0.8425291242,0.9455258464,0.8966799643,3.1980321066,0.9874022769,3.1980321066,-0.1217340123,-0.0126777472
NaCl,25.0000000000,58.4430000000,0.8876363636,0.1551733584,0.8448266416,0.9464162023,0.8982827985,3.1428022670,0.9881480143,3.1428022670,-0.1191931203,-0.0119227804
NaCl,25.0000000000,58.4430000000,0.8898888889,0.1528532632,0.8471467368,0.9473120962,0.8998983391,3.0873336840,0.9888771323,3.0873336840,-0.1166586680,-0.0111851893
NaCl,25.0000000000,58.4430000000,0.8921414141,0.1505100648,0.8494899352,0.9482136533,0.9015268702,3.0316202822,0.9895893774,3.0316202822,-0.1141306229,-0.0104651922
NaCl,25.0000000000,58.4430000000,0.8943939394,0.1481432236,0.8518567764,0.9491210012,0.9031686828,2.9756558899,0.9902844910,2.9756558899,-0.1116089528,-0.0097630125
NaCl,25.0000000000,58.4430000000,0.8966464646,0.1457521854,0.8542478146,0.9500342701,0.9048240748,2.9194342429,0.9909622098,2.9194342429,-0.1090936254,-0.0090788788
NaCl,25.0000000000,58.4430000000,0.8988989899,0.1433363809,0.8566636191,0.9509535927,0.9064933507,2.8629489899,0.9916222653,2.8629489899,-0.1065846091,-0.0084130251
NaCl,25.0000000000,58.4430000000,0.9011515152,0.1408952262,0.8591047738,0.9518791041,0.9081768217,2.8061936989,0.9922643847,2.8061936989,-0.1040818722,-0.0077656904
NaCl,25.0000000000,58.4430000000,0.9034040404,0.1384281220,0.8615718780,0.9528109414,0.9098748059,2.7491618654,0.9928882903,2.7491618654,-0.1015853833,-0.0071371185
NaCl,25.0000000000,58.4430000000,0.9056565657,0.1359344543,0.8640655457,0.9537492444,0.9115876278,2.6918469211,0.9934937005,2.6918469211,-0.0990951114,-0.0065275577
NaCl,25.0000000000,58.4430000000,0.9079090909,0.1334135939,0.8665864061,0.9546941545,0.9133156181,2.6342422453,0.9940803298,2.6342422453,-0.0966110255,-0.0059372609
NaCl,25.0000000000,58.4430000000,0.9101616162,0.1308648967,0.8691351033,0.9556458150,0.9150591138,2.5763411776,0.9946478894,2.5763411776,-0.0941330951,-0.0053664845
NaCl,25.0000000000,58.4430000000,0.9124141414,0.1282877042,0.8717122958,0.9566043710,0.9168184574,2.5181370334,0.9951960871,2.5181370334,-0.0916612896,-0.0048154887
NaCl,25.0000000000,58.4430000000,0.9146666667,0.1256813432,0.8743186568,0.9575699688,0.9185939969,2.4596231211,0.9957246289,2.4596231211,-0.0891955788,-0.0042845367
NaCl,25.0000000000,58.4430000000,0.9169191919,0.1230451273,0.8769548727,0.9585427559,0.9203860852,2.4007927624,0.9962332185,2.4007927624,-0.0867359328,-0.0037738937
NaCl,25.0000000000,58.4430000000,0.9191717172,0.1203783564,0.8796216436,0.9595228801,0.9221950794,2.3416393161,0.9967215590,2.3416393161,-0.0842823219,-0.0032838269
NaCl,25.0000000000,58.4430000000,0.9214242424,0.1176803184,0.8823196816,0.9605104899,0.9240213399,2.2821562046,0.9971893533,2.2821562046,-0.0818347164,-0.0028146040
NaCl,25.0000000000,58.4430000000,0.9236767677,0.1149502900,0.8850497100,0.9615057333,0.9258652302,2.2223369448,0.9976363055,2.2223369448,-0.0793930871,-0.0023664924
NaCl,25.0000000000,58.4430000000,0.9259292929,0.1121875377,0.8878124623,0.9625087574,0.9277271151,2.1621751832,0.9980621218,2.1621751832,-0.0769574048,-0.0019397584
NaCl,25.0000000000,58.4430000000,0.9281818182,0.1093913197,0.8906086803,0.9635197080,0.9296073601,2.1016647355,0.9984665118,2.1016647355,-0.0745276406,-0.0015346652
NaCl,25.0000000000,58.4430000000,0.9304343434,0.1065608876,0.8934391124,0.9645387285,0.9315063296,2.0407996321,0.9988491907,2.0407996321,-0.0721037659,-0.0011514720
NaCl,25.0000000000,58.4430000000,0.9326868687,0.1036954885,0.8963045115,0.9655659591,0.9334243856,1.9795741691,0.9992098804,1.9795741691,-0.0696857522,-0.0007904319
NaCl,25.0000000000,58.4430000000,0.9349393939,0.1007943678,0.8992056322,0.9666015361,0.9353618859,1.9179829653,0.9995483118,1.9179829653,-0.0672735711,-0.0004517902
