electrolyte,electrolyte_type,cation,anion,molecule_formula,std_dev_simplified,ref_simplified,max_molality_simplified,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,cation_type_numeric,anion_type_numeric,electrolyte_type_numeric,B_MX_0_simplified,B_MX_1_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original
Cr(NO3)3,3-1,Cr^+2,NO3^-1,3.0,0.024,13,1.2,0.004,9,1.4,0.62,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-1938.0,1.334e-05,51.9961,1.0,1.0,3.58,2.06,0.085,238.0108,13.0,3.0,2.06,1,0,31,0.6136,5.6223,0.704,5.1847,0.0,-0.059
CrCl3,3-1,Cr^+2,Cl^-1,3.0,0.018,13,1.2,0.005,9,1.2,0.62,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1938.0,1.334e-05,51.9961,1.0,1.0,3.58,2.06,0.085,158.3551,4.0,2.0,2.06,1,0,31,0.6661,5.7568,0.7364,5.2553,0.0,-0.0451
EuCl3,3-1,Eu^+2,Cl^-1,3.0,0.033,13,1.8,0.007,9,1.8,0.95,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1473.0,1.334e-05,151.964,1.0,1.0,3.58,2.35,0.085,258.323,4.0,2.0,2.35,1,0,31,0.5742,5.7733,0.6247,5.59,0.0,-0.0264
LaCl3,3-1,La^+3,Cl^-1,3.0,0.039,13,1.8,0.007,9,1.8,1.05,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-3277.0,6.19e-06,138.90547,1.0,1.0,4.52,2.43,0.576,245.26447,4.0,2.0,2.43,1,0,31,0.5495,5.711,0.6105,5.4873,0.0,-0.032
NdCl3,3-1,Nd^+2,Cl^-1,3.0,0.027,13,1.6,0.007,9,2.0,0.98,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1448.0,1.334e-05,144.242,1.0,1.0,3.58,2.39,0.085,250.601,4.0,2.0,2.39,1,0,31,0.5592,5.5343,0.6117,5.4027,0.0,-0.0284
PrCl3,3-1,Pr^+2,Cl^-1,3.0,0.026,13,1.6,0.006,9,2.0,1.0,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1420.0,1.334e-05,140.90765,1.0,1.0,3.58,2.4,0.085,247.26665,4.0,2.0,2.4,1,0,31,0.5497,5.6079,0.602,5.454,0.0,-0.028
ScCl3,3-1,Sc^+2,Cl^-1,3.0,0.029,13,1.6,0.005,9,1.8,0.75,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1745.0,1.334e-05,44.955912,1.0,1.0,3.58,2.15,0.085,151.314912,4.0,2.0,2.15,1,0,31,0.6426,5.5572,0.7,5.3187,0.0,-0.0323
SmCl3,3-1,Sm^+2,Cl^-1,3.0,0.027,13,1.6,0.01,9,1.8,0.96,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1463.0,1.334e-05,150.36,1.0,1.0,3.58,2.36,0.085,256.71900000000005,4.0,2.0,2.36,1,0,31,0.5697,5.6701,0.622,5.5153,0.0,-0.028
YCl3,3-1,Y^+3,Cl^-1,3.0,0.031,13,1.8,0.007,9,1.8,0.9,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-3523.0,5.5e-06,88.90585,1.0,1.0,3.58,2.32,0.085,195.26485,4.0,2.0,2.32,1,0,31,0.5989,5.5042,0.6399,5.444,0.0,-0.0226
Th(NO3)4,4-1,Th^+4,NO3^-1,3.0,0.012,11,0.4,0.01,9,1.0,0.94,1.81,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-6028.0,1.334e-05,232.03806,1.0,1.0,3.58,2.45,0.852,480.05766,17.0,3.0,2.45,1,0,41,0.8148,12.0772,0.9663,11.3875,0.0,-0.1846
