electrolyte,electrolyte_type,cation,anion,molecule_formula,std_dev_simplified,ref_simplified,max_molality_simplified,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,cation_type_numeric,anion_type_numeric,electrolyte_type_numeric,B_MX_0_simplified,B_MX_1_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original
BaBr2,2-1,Ba^+2,Br^-1,2.0,0.013,26,2.3,0.001,9,2.0,1.36,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,2.68,0.261,297.135,3.0,2.0,2.68,1,0,21,0.2716,2.0187,0.3146,1.5698,0.0,-0.016
BaCl2,2-1,Ba^+2,Cl^-1,2.0,0.014,26,1.79,0.001,9,1.79,1.36,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,2.68,0.261,208.233,3.0,2.0,2.68,1,0,21,0.2246,1.7213,0.2628,1.4963,0.0,-0.0194
BaI2,2-1,Ba^+2,I^-1,2.0,0.011,26,2.0,0.003,9,1.8,1.36,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-1338.0,8.47e-06,137.327,1.0,1.0,4.04,2.68,0.261,391.13594,3.0,2.0,2.68,1,0,21,0.3861,1.9611,0.4219,1.6868,0.0,-0.0174
Ca(ClO4)2,2-1,Ca^+2,ClO4^-1,4.0,0.029,12,5.0,0.005,9,2.0,1.0,2.25,k,c,0.0,-185.0,1.792e-05,99.4506,5.0,2.0,3.38,1.75,-0.058,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,2.31,0.284,238.9792,11.0,3.0,2.31,1,0,21,0.4273,1.953,0.4511,1.7565,0.0,-0.005
CaBr2,2-1,Ca^+2,Br^-1,2.0,0.012,26,3.25,0.002,9,2.0,1.0,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,2.31,0.284,199.886,3.0,2.0,2.31,1,0,21,0.3795,1.7029,0.3816,1.6133,0.0,-0.0026
CaCl2,2-1,Ca^+2,Cl^-1,2.0,0.024,26,6.0,0.003,9,2.5,1.0,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,2.31,0.284,110.984,3.0,2.0,2.31,1,0,21,0.3118,1.7044,0.3159,1.614,0.0,-0.0003
CaI2,2-1,Ca^+2,I^-1,2.0,0.002,26,1.9,0.001,9,2.0,1.0,2.2,k,c,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,1.98,-0.073,0.0,-1593.0,7.92e-06,40.078,1.0,1.0,4.12,2.31,0.284,293.88694,3.0,2.0,2.31,1,0,21,0.4357,1.8225,0.4379,1.8068,0.0,-0.0008
Co(NO3)2,2-1,Co^+2,NO3^-1,3.0,0.02,27,3.25,0.003,9,5.5,0.75,1.79,k,c,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.55,-0.043,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,2.0,0.372,182.942995,9.0,3.0,2.0,1,0,21,0.2815,1.748,0.3119,1.6905,0.0,-0.0076
CoBr2,2-1,Co^+2,Br^-1,2.0,0.021,27,3.75,0.002,9,2.0,0.75,1.96,k,c,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.85,-0.033,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,2.0,0.372,218.741195,3.0,2.0,2.0,1,0,21,0.3986,1.9156,0.427,1.6598,0.0,-0.0007
CoCl2,2-1,Co^+2,Cl^-1,2.0,0.02,27,3.0,0.004,9,3.0,0.75,1.81,k,c,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.75,-0.005,0.0,-2003.0,7.32e-06,58.933195,1.0,1.0,4.23,2.0,0.372,129.83919500000002,3.0,2.0,2.0,1,0,21,0.3113,1.7699,0.3643,1.4753,0.0,-0.0152
